Country,Latitude,Longitude
Switzerland,46.7985624,8.2319736
Iceland,64.9841821,-18.1059013
Denmark,55.670249,10.3333283
Norway,61.1529386,8.7876653
Canada,61.0666922,-107.991707
Finland,63.2467777,25.9209164
Netherlands,52.24764975,5.541246849406163
Sweden,59.6749712,14.5208584
New Zealand,-41.5000831,172.8344077
Australia,-24.7761086,134.755
Israel,30.8124247,34.8594762
Costa Rica,9.536456900000001,-84.17566257468567
Austria,47.59397,14.12456
Mexico,23.6585116,-102.0077097
United States of America,39.7837304,-100.445882
Brazil,-10.3333333,-53.2
Luxembourg,49.8158683,6.1296751
Ireland,52.865196,-7.9794599
Belgium,50.6402809,4.6667145
United Arab Emirates,24.0002488,53.9994829
United Kingdom,54.7023545,-3.2765753
Oman,21.0000287,57.0036901
Venezuela,8.0018709,-66.1109318
Singapore,1.357107,103.8194992
Panama,8.559559,-81.1308434
Germany,51.1638175,10.4478313
Chile,-31.7613365,-71.3187697
Qatar,25.3336984,51.2295295
France,46.603354,1.8883335
Argentina,-34.9964963,-64.9672817
Czech Republic,49.7439047,15.3381061
Uruguay,-32.8755548,-56.0201525
Colombia,4.099917,-72.9088133
Thailand,14.8971921,100.83273
Saudi Arabia,25.6242618,42.3528328
Spain,39.3260685,-4.8379791
Malta,35.8885993,14.4476911
Taiwan,23.9739374,120.9820179
Kuwait,29.2733964,47.4979476
Suriname,4.1413025,-56.0771187
Trinidad and Tobago,10.7466905,-61.0840075
El Salvador,13.8000382,-88.9140683
Guatemala,15.5855545,-90.345759
Uzbekistan,41.32373,63.9528098
Slovakia,48.7411522,19.4528646
Japan,36.5748441,139.2394179
South Korea,36.638392,127.6961188
Ecuador,-1.3397668,-79.3666965
Bahrain,26.1551249,50.5344606
Italy,42.6384261,12.674297
Bolivia,-17.0568696,-64.9912286
Moldova,47.2879608,28.5670941
Paraguay,-23.3165935,-58.1693445
Kazakhstan,48.1012954,66.7780818
Slovenia,46.1199444,14.8153333
Lithuania,55.3500003,23.7499997
Nicaragua,12.6090157,-85.2936911
Peru,-6.8699697,-75.0458515
Belarus,53.4250605,27.6971358
Poland,52.215933,19.134422
Malaysia,4.5693754,102.2656823
Croatia,45.3658443,15.6575209
Libya,26.8234472,18.1236723
Russia,64.6863136,97.7453061
Jamaica,18.1850507,-77.3947693
Northern Cyprus,35.2245313,33.6252379
Cyprus,34.9823018,33.1451285
Algeria,28.0000272,2.9999825
Kosovo,42.5869578,20.9021231
Turkmenistan,39.3763807,59.3924609
Mauritius,-20.2759451,57.5703566
Hong Kong S.A.R.,22.350627,114.1849161
Estonia,58.7523778,25.3319078
Indonesia,-2.4833826,117.8902853
Vietnam,15.9266657,107.9650855
Turkey,38.9597594,34.9249653
Kyrgyzstan,41.5089324,74.724091
Nigeria,9.6000359,7.9999721
Bhutan,27.549511,90.5119273
Azerbaijan,40.3936294,47.7872508
Pakistan,30.3308401,71.247499
Jordan,31.1667049,36.941628
Montenegro,42.9868853,19.5180992
China,35.000074,104.999927
Zambia,-14.5189121,27.5589884
Romania,45.9852129,24.6859225
Republic of Serbia,44.1534121,20.55144
Portugal,39.6621648,-8.1353519
Latvia,56.8406494,24.7537645
Philippines,12.7503486,122.7312101
Somaliland,9.7277474,46.0099127
Morocco,31.1728205,-7.3362482
Macedonia,41.6171214,21.7168387
Mozambique,-19.302233,34.9144977
Albania,41.000028,19.9999619
Bosnia and Herzegovina,44.3053476,17.5961467
Lesotho,-29.6039267,28.3350193
Dominican Republic,19.0974031,-70.3028026
Laos,20.0171109,103.378253
Mongolia,46.8250388,103.8499736
Swaziland,-26.5624806,31.3991317
Greece,38.9953683,21.9877132
Lebanon,33.8750629,35.843409
Hungary,47.1817585,19.5060937
Honduras,15.2572432,-86.0755145
Tajikistan,38.6281733,70.8156541
Tunisia,33.8439408,9.400138
Palestine,31.762963620549996,34.9384953773143
Bangladesh,24.4769288,90.2934413
Iran,32.6475314,54.5643516
Ukraine,49.4871968,31.2718321
Iraq,33.0955793,44.1749775
South Africa,-28.8166236,24.991639
Ghana,8.0300284,-1.0800271
Zimbabwe,-18.4554963,29.7468414
Liberia,5.7499721,-9.3658524
India,22.3511148,78.6677428
Sudan,14.5844444,29.4917691
Haiti,19.1399952,-72.3570972
Democratic Republic of the Congo,-2.9814344,23.8222636
Nepal,28.1083929,84.0917139
Ethiopia,10.2116702,38.6521203
Sierra Leone,8.6400349,-11.8400269
Mauritania,20.2540382,-9.2399263
Kenya,1.4419683,38.4313975
Djibouti,11.8145966,42.8453061
Armenia,40.7696272,44.6736646
Botswana,-23.1681782,24.5928742
Myanmar,17.1750495,95.9999652
Georgia,41.6809707,44.0287382
Malawi,-13.2687204,33.9301963
Sri Lanka,7.5554942,80.7137847
Cameroon,4.6125522,13.1535811
Bulgaria,42.6073975,25.4856617
Egypt,26.2540493,29.2675469
Yemen,16.3471243,47.8915271
Angola,-11.8775768,17.5691241
Mali,16.3700359,-2.2900239
Republic of Congo,-0.7264327,15.6419155
Comoros,-12.2045176,44.2832964
Uganda,1.5333554,32.2166578
Senegal,14.4750607,-14.4529612
Gabon,-0.8999695,11.6899699
Niger,17.7356214,9.3238432
Cambodia,12.5433216,104.8144914
United Republic of Tanzania,-6.5247123,35.7878438
Madagascar,-18.9249604,46.4416422
Central African Republic,7.0323598,19.9981227
Chad,15.6134137,19.0156172
Guinea,10.7226226,-10.7083587
Ivory Coast,7.9897371,-5.5679458
Burkina Faso,12.0753083,-1.6880314
Afghanistan,33.7680065,66.2385139
Rwanda,-1.9646631,30.0644358
Benin,9.5293472,2.2584408
Syria,34.6401861,39.0494106
Burundi,-3.426449,29.9324519
Togo,8.7800265,1.0199765
